STATE,SALES_MONTH,TOTAL_DOLLARS
Massachusetts,2023-09-01,154358625.36
Nova Scotia,2023-09-01,41584.83
Ohio,2023-09-01,42654896.72
Yukon,2023-09-01,1235042.54
Vermont,2023-09-01,10655207.48
Virginia,2023-09-01,12241548.85
Connecticut,2023-09-01,25566680.77
Iowa,2023-09-01,1256306.76
South Carolina,2023-09-01,0.00
Arkansas,2023-09-01,22532611.29
Maryland,2023-09-01,91241921.58
Rhode Island,2023-09-01,6787763.18
Texas,2023-09-01,979567.42
Washington,2023-09-01,85934674.22
Newfoundland and Labrador,2023-09-01,4378098.88
Hawaii,2023-09-01,2985608.17
British Columbia,2023-09-01,72646590.24
Delaware,2023-09-01,2874820.88
Minnesota,2023-09-01,4204701.51
Saskatchewan,2023-09-01,13384674.58
Alberta,2023-09-01,74923934.13
New Hampshire,2023-09-01,708968.18
New Brunswick,2023-09-01,1793365.47
Colorado,2023-09-01,129571291.35
Manitoba,2023-09-01,13873379.05
Missouri,2023-09-01,118658083.76
Florida,2023-09-01,150493416.61
Pennsylvania,2023-09-01,92256012.78
Mississippi,2023-09-01,6345021.59
Louisiana,2023-09-01,2996339.51
Nevada,2023-09-01,70377289.35
Minnesota,2023-10-01,3927555.66
Delaware,2023-10-01,2884281.29
California,2023-10-01,368222354.45
Utah,2023-10-01,12033964.45
Florida,2023-10-01,152678413.91
Alaska,2023-10-01,19765159.16
Manitoba,2023-10-01,16739112.01
Vermont,2023-10-01,10507941.27
Ohio,2023-10-01,41893022.39
Maine,2023-10-01,42706772.71
Oregon,2023-10-01,81192778.93
Newfoundland and Labrador,2023-10-01,4893372.98
Mississippi,2023-10-01,6554508.75
New Hampshire,2023-10-01,755698.66
West Virginia,2023-10-01,6345254.85
Ontario,2023-10-01,198031782.12
Nova Scotia,2023-10-01,39706.50
New Brunswick,2023-10-01,1594672.45
Alberta,2023-10-01,82178831.47
Connecticut,2023-10-01,25027653.04
North Dakota,2023-10-01,1393301.08
Hawaii,2023-10-01,2971506.92
Nevada,2023-10-01,69714781.87
New Mexico,2023-10-01,47072635.63
Montana,2023-10-01,28875151.65
British Columbia,2023-10-01,72825697.78
Quebec,2023-10-01,0.00
Arizona,2023-10-01,112168802.66
South Dakota,2023-10-01,4656539.71
Arkansas,2023-10-01,24188330.94
Michigan,2023-10-01,277161172.45
Yukon,2023-10-01,945194.01
New York,2023-10-01,26511270.41
Pennsylvania,2023-10-01,93581339.47
Washington,2023-10-01,82305415.83
Maryland,2023-10-01,90535835.22
Puerto Rico,2023-10-01,60956363.28
Saskatchewan,2023-10-01,15776915.24
Nunavut,2023-10-01,782773.02
Virginia,2023-10-01,11922407.88
Massachusetts,2023-10-01,151026308.72
Texas,2023-10-01,862315.99
Rhode Island,2023-10-01,6949676.85
Illinois,2023-10-01,141896391.57
District of Columbia,2023-10-01,2907555.25
Iowa,2023-10-01,1237682.08
Northern Mariana Islands,2023-10-01,0.00
South Carolina,2023-10-01,0.00
Louisiana,2023-10-01,3622059.61
Oklahoma,2023-10-01,133937777.63
Georgia,2023-10-01,710700.20
Missouri,2023-10-01,113967042.40
Colorado,2023-10-01,124132251.03
New Jersey,2023-10-01,67249742.31
Nunavut,2023-11-01,929502.64
Missouri,2023-11-01,113920309.13
Michigan,2023-11-01,262102110.45
Ohio,2023-11-01,43967323.53
West Virginia,2023-11-01,6578300.52
Saskatchewan,2023-11-01,13003216.12
